Hostname,IP address,Software Image,Version,Serial number,Hardware
FW,192.168.11.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048016'],[]
FW1-Area-51,172.16.0.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048017'],[]
FW2-Area-51,172.17.0.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048018'],[]
R1,1.0.0.0,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048012'],[]
R2,2.0.0.0,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048010'],[]
R3,3.0.0.0,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048013'],[]
R4,4.0.0.0,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048011'],[]
R5,10.0.10.9,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048014'],[]
R6,10.0.10.13,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048015'],[]
R7,10.1.10.18,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048022'],[]
R8,172.20.20.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048023'],[]
RL1,192.168.2.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048001'],[]
RL2,192.168.2.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048002'],[]
NBI-1,10.1.50.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048004'],[]
NBI-2,10.1.50.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048005'],[]
NKR,10.1.52.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048006'],[]
MSA,10.1.60.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048007'],[]
MLD,10.1.61.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048008'],[]
KSM,172.16.0.7,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048009'],[]
KSM-LAN,10.1.70.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048024'],[]
